timestamp, name, driver_version, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
2026/09/13 19:43:14.659, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 1 MiB, 0 %
2026/09/13 19:43:19.661, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 1 MiB, 0 %
2026/09/13 19:43:24.661, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 1 MiB, 0 %
2026/09/13 19:43:29.662, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 19:43:34.663, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 19:43:39.663, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 19:43:44.664, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 19:43:49.665, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
