timestamp, name, uuid, driver_version, pstate, temperature.gpu, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/14 07:00:11.860, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P8, 27, 25.44 W, 0 %, 0 %, 1 MiB, 24564 MiB, 210 MHz, 405 MHz
2026/09/14 07:00:12.862, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P8, 27, 24.99 W, 0 %, 0 %, 1 MiB, 24564 MiB, 210 MHz, 405 MHz
2026/09/14 07:00:13.863, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P8, 27, 24.92 W, 0 %, 0 %, 21 MiB, 24564 MiB, 210 MHz, 405 MHz
2026/09/14 07:00:14.865, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 29, 48.98 W, 26 %, 1 %, 8422 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:15.868, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 29, 68.35 W, 17 %, 1 %, 8426 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:16.870, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 29, 67.23 W, 6 %, 0 %, 8488 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:17.871, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 29, 67.07 W, 0 %, 0 %, 8498 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:18.873, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 31, 84.79 W, 2 %, 0 %, 8624 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:19.875, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 31, 130.56 W, 37 %, 27 %, 8624 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:20.877, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 30, 129.55 W, 36 %, 26 %, 8624 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:21.880, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 31, 74.54 W, 0 %, 0 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:22.881, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 31, 119.70 W, 36 %, 25 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:23.883, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 31, 129.29 W, 36 %, 26 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:24.885, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 30, 124.60 W, 35 %, 25 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:25.886, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 32, 113.55 W, 36 %, 26 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:26.888, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 30, 98.83 W, 9 %, 7 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:27.889, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 31, 90.33 W, 19 %, 9 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:28.891, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 32, 125.73 W, 36 %, 26 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:29.893, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 32, 126.04 W, 35 %, 25 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:30.894, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 32, 125.99 W, 37 %, 26 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:31.895, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 32, 125.99 W, 36 %, 26 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:32.897, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 30, 112.54 W, 35 %, 25 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:33.898, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 32, 78.77 W, 0 %, 0 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:34.900, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 30, 88.39 W, 0 %, 0 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:35.901, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 32, 103.26 W, 37 %, 26 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:36.903, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 32, 126.39 W, 37 %, 27 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:37.904, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 32, 126.47 W, 37 %, 27 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:38.906, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 32, 125.98 W, 37 %, 27 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:39.908, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 32, 126.54 W, 37 %, 26 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:40.910, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 31, 98.31 W, 0 %, 0 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:41.911, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 32, 93.21 W, 33 %, 20 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:42.913, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 33, 126.74 W, 37 %, 26 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:00:43.914, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 33, 125.09 W, 35 %, 25 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
