timestamp, name, driver_version, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
2026/09/13 19:36:36.646, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 1 MiB, 0 %
2026/09/13 19:36:41.648, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 1 MiB, 0 %
2026/09/13 19:36:46.649, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 1 MiB, 0 %
2026/09/13 19:36:51.649, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 4 MiB, 0 %
2026/09/13 19:36:56.650, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 4 MiB, 0 %
2026/09/13 19:37:01.650, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 4 MiB, 0 %
