timestamp, name, driver_version, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
2026/09/13 20:16:59.943, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 1 MiB, 0 %
2026/09/13 20:17:04.945, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 1 MiB, 0 %
2026/09/13 20:17:09.946, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 1 MiB, 0 %
2026/09/13 20:17:14.947, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:17:19.947, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:17:24.948, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:17:29.948, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:17:34.948, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:17:39.949, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:17:44.949, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:17:49.950, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:17:54.951, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:17:59.951, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:18:04.952, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:18:09.952, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:18:14.953, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:18:19.953, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:18:24.954, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:18:29.955, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:18:34.955, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8488 MiB, 0 %
2026/09/13 20:18:39.956, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 8998 MiB, 2 %
2026/09/13 20:18:44.957, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9000 MiB, 35 %
2026/09/13 20:18:49.957, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9000 MiB, 35 %
2026/09/13 20:18:54.958, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9000 MiB, 35 %
2026/09/13 20:18:59.958, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9000 MiB, 36 %
2026/09/13 20:19:04.959, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9000 MiB, 34 %
2026/09/13 20:19:09.959, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9000 MiB, 35 %
2026/09/13 20:19:14.960, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9000 MiB, 35 %
2026/09/13 20:19:19.961, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9000 MiB, 35 %
2026/09/13 20:19:24.961, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9000 MiB, 34 %
2026/09/13 20:19:29.962, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9000 MiB, 34 %
2026/09/13 20:19:34.962, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9000 MiB, 35 %
2026/09/13 20:19:39.963, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9000 MiB, 34 %
2026/09/13 20:19:44.964, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9000 MiB, 34 %
2026/09/13 20:19:49.964, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9000 MiB, 34 %
2026/09/13 20:19:54.965, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 34 %
2026/09/13 20:19:59.966, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 33 %
2026/09/13 20:20:04.966, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9395 MiB, 34 %
2026/09/13 20:20:09.968, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 30 %
2026/09/13 20:20:14.968, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 32 %
2026/09/13 20:20:19.969, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 33 %
2026/09/13 20:20:24.969, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 32 %
2026/09/13 20:20:29.970, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 33 %
2026/09/13 20:20:34.971, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 32 %
2026/09/13 20:20:39.971, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 33 %
2026/09/13 20:20:44.972, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 32 %
2026/09/13 20:20:49.972, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 33 %
2026/09/13 20:20:54.973, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 32 %
2026/09/13 20:20:59.973, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 33 %
2026/09/13 20:21:04.974, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 32 %
2026/09/13 20:21:09.974, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 32 %
2026/09/13 20:21:14.975, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 32 %
2026/09/13 20:21:19.975, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 32 %
2026/09/13 20:21:24.976, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 32 %
2026/09/13 20:21:29.977, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 32 %
2026/09/13 20:21:34.977, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 31 %
2026/09/13 20:21:39.978, NVIDIA GeForce RTX 4090, 570.169, 24564 MiB, 9006 MiB, 0 %
